id,sku,name,category_id,supplier_id,base_price_cents,is_active,launched_at
1,P0001,Tokyo Jaffle,6,5,1235,True,2023-07-28
2,P0002,Truffle Mushroom Jaffle,7,6,1100,True,2020-11-07
3,P0003,Mushroom Vegan Melt,8,17,780,True,2021-06-21
4,P0004,Spicy Berlin Donburi,9,18,1415,True,2024-04-20
5,P0005,Crunchy Bombay Salad,10,15,955,True,2022-01-27
6,P0006,Ancient Grain BLT Mix,11,1,1535,True,2023-08-14
7,P0007,Tokyo Latte,12,21,455,True,2022-02-27
8,P0008,Bristol Tea,13,6,475,True,2021-06-06
9,P0009,Brooklyn Smoothie,14,25,700,True,2020-09-23
10,P0010,Loaded Mediterranean Wedges,15,15,380,False,2024-04-23
11,P0011,Pickled Tex-Mex,16,17,325,True,2022-10-02
12,P0012,Tomato Trail Mix,17,17,425,True,2022-11-25
13,P0013,Mini Tex-Mex Cake,18,22,520,True,2023-08-27
14,P0014,Cheddar Tart,19,19,670,True,2021-02-03
15,P0015,Greek Macaron,20,4,765,True,2022-01-11
16,P0016,Classic Halloumi Toastie,6,4,1395,True,2023-01-21
17,P0017,Truffle Bristol Jaffle,7,17,1070,True,2024-01-10
18,P0018,Hawaiian Vegan Jaffle,8,17,870,True,2020-10-27
19,P0019,Tokyo Hawaiian Bowl,9,1,1005,True,2021-12-21
20,P0020,Mushroom Caesar Bowl,10,20,1490,True,2022-09-13
21,P0021,Ancient Grain Pesto Mix,11,18,1405,True,2022-01-09
22,P0022,Chicago Espresso,12,24,365,True,2021-02-23
23,P0023,Spinach Chai,13,15,545,True,2021-04-11
24,P0024,Spinach Smoothie,14,7,580,True,2022-10-10
25,P0025,Loaded Caprese Wedges,15,3,515,True,2022-08-09
26,P0026,Cold Greek Salad,16,21,325,True,2020-02-11
27,P0027,BLT Crisps,17,6,555,True,2021-09-22
28,P0028,Bristol Cheesecake,18,25,640,True,2022-12-04
29,P0029,Bristol Danish,19,2,745,False,2020-09-04
30,P0030,Chicago Cookie,20,11,465,True,2023-08-27
31,P0031,Cheesy Tomato Melt,6,14,895,True,2023-12-04
32,P0032,BLT Reserve Toastie,7,7,1205,True,2022-02-23
33,P0033,Detroit Vegan Jaffle,8,6,1270,True,2023-03-24
34,P0034,Bristol Rice Bowl,9,23,1410,True,2024-06-12
35,P0035,Greek Garden Salad,10,6,1305,True,2023-10-17
36,P0036,Ancient Grain Detroit Mix,11,11,1100,True,2024-03-09
37,P0037,Italian Latte,12,22,385,True,2021-02-26
38,P0038,Iced Vietnamese Tea,13,5,690,True,2022-06-29
39,P0039,Sparkling Caprese Water,14,20,350,True,2021-09-27
40,P0040,Loaded Chicago Wedges,15,9,435,True,2024-06-24
41,P0041,Pickled Mushroom,16,23,590,True,2021-07-07
42,P0042,Caprese Pretzels,17,19,1000,True,2021-06-22
43,P0043,Bristol Layer Cake,18,18,490,False,2023-03-22
44,P0044,Brooklyn Croissant,19,25,600,True,2023-09-23
45,P0045,Chunky Spinach Biscuit,20,15,785,True,2023-09-25
46,P0046,Classic Chicago Toastie,6,17,1040,False,2022-06-29
47,P0047,Tomato Reserve Toastie,7,22,810,True,2020-11-15
48,P0048,Italian Vegan Jaffle,8,21,820,True,2021-01-27
49,P0049,Spinach Hawaiian Bowl,9,18,1345,True,2020-02-08
50,P0050,Tex-Mex Caesar Bowl,10,19,1005,True,2024-02-28
51,P0051,Ancient Grain Italian Mix,11,14,980,True,2022-04-04
52,P0052,Tokyo Espresso,12,22,440,True,2020-07-07
53,P0053,Iced Tokyo Tea,13,2,615,True,2021-07-11
54,P0054,BLT Lemonade,14,1,345,True,2022-01-31
55,P0055,Loaded Caprese Wedges,15,13,455,True,2022-05-08
56,P0056,Cold Chicago Salad,16,12,535,True,2024-01-25
57,P0057,Avocado Pretzels,17,21,545,True,2021-09-08
58,P0058,Spinach Layer Cake,18,11,350,True,2021-10-26
59,P0059,Detroit Croissant,19,25,760,True,2021-05-09
60,P0060,Brie Cookie,20,20,750,True,2022-05-22
61,P0061,Cheesy Berlin Melt,6,6,820,True,2022-09-20
62,P0062,Truffle Chicago Jaffle,7,14,800,True,2021-11-15
63,P0063,Plant-based Brie Toastie,8,8,710,True,2024-05-08
64,P0064,Pesto Rice Bowl,9,18,1510,False,2022-10-02
65,P0065,Crunchy Brooklyn Salad,10,3,1550,True,2022-05-05
66,P0066,Avocado Quinoa Bowl,11,7,965,True,2023-08-22
67,P0067,Greek Latte,12,12,695,True,2020-08-16
68,P0068,Iced Tomato Tea,13,13,310,True,2020-04-21
69,P0069,Sparkling Brie Water,14,15,280,True,2020-04-30
70,P0070,Hot Halloumi Fries,15,4,535,True,2023-03-21
71,P0071,Pickled Chicago,16,16,525,True,2023-10-13
72,P0072,Cheddar Crisps,17,20,595,True,2022-04-24
73,P0073,Bombay Layer Cake,18,19,670,True,2020-04-09
74,P0074,Vietnamese Danish,19,9,665,True,2020-05-21
75,P0075,Avocado Cookie,20,20,790,True,2021-03-24
76,P0076,Cheesy BLT Melt,6,22,1200,True,2021-09-28
77,P0077,Brooklyn Reserve Toastie,7,15,1275,True,2022-10-30
78,P0078,Plant-based Avocado Toastie,8,25,920,True,2023-06-27
79,P0079,Greek Hawaiian Bowl,9,24,1300,True,2022-06-01
80,P0080,Smoked Salmon Caesar Bowl,10,9,1415,True,2023-11-26
81,P0081,Brie Grain Bowl,11,25,935,True,2022-06-20
82,P0082,Spinach Espresso,12,9,500,True,2023-04-24
83,P0083,Italian Tea,13,4,665,True,2024-04-07
84,P0084,Sparkling Cheddar Water,14,15,690,True,2023-09-09
85,P0085,Hot Spinach Fries,15,11,495,True,2024-02-07
86,P0086,Chilled Korean Slaw,16,9,310,True,2022-12-31
87,P0087,Smoked Salmon Trail Mix,17,25,505,True,2023-06-01
88,P0088,Chicago Layer Cake,18,21,470,True,2022-05-10
89,P0089,Caprese Croissant,19,19,490,True,2020-12-09
90,P0090,Bristol Cookie,20,22,405,True,2023-03-13
91,P0091,Cheesy Mediterranean Melt,6,8,1180,True,2020-06-24
92,P0092,Truffle Brie Jaffle,7,21,1325,True,2020-08-05
93,P0093,Korean Vegan Melt,8,3,945,True,2023-04-03
94,P0094,BLT Rice Bowl,9,9,1350,True,2021-09-14
95,P0095,Crunchy Mediterranean Salad,10,10,1190,True,2020-05-02
96,P0096,Ancient Grain Berlin Mix,11,22,1460,True,2020-07-20
97,P0097,Detroit Latte,12,20,380,True,2022-10-09
98,P0098,Vietnamese Chai,13,3,695,True,2020-05-28
99,P0099,Detroit Smoothie,14,6,470,True,2022-12-31
100,P0100,Hot Detroit Fries,15,1,555,True,2022-05-22
101,P0101,Chilled Bristol Slaw,16,21,515,True,2022-12-06
102,P0102,Spinach Trail Mix,17,10,340,True,2023-08-01
103,P0103,Mediterranean Cheesecake,18,13,400,True,2024-04-03
104,P0104,Bombay Tart,19,5,775,True,2020-11-30
105,P0105,Chunky BLT Biscuit,20,16,375,True,2020-03-02
106,P0106,Cheesy Caprese Melt,6,17,1050,True,2021-07-27
107,P0107,Truffle Bristol Jaffle,7,9,1340,True,2022-09-19
108,P0108,Brooklyn Vegan Melt,8,19,1030,True,2020-12-27
109,P0109,Pesto Rice Bowl,9,2,1135,True,2020-06-20
110,P0110,Italian Garden Salad,10,24,1430,True,2020-07-08
111,P0111,Ancient Grain Bombay Mix,11,19,1470,True,2020-12-30
112,P0112,Berlin Latte,12,22,410,True,2023-07-21
113,P0113,Iced Bombay Tea,13,9,580,True,2023-06-03
114,P0114,Halloumi Smoothie,14,12,690,True,2021-03-09
115,P0115,Loaded Smoked Salmon Wedges,15,3,595,False,2020-01-21
116,P0116,Cold Avocado Salad,16,8,410,True,2023-06-29
117,P0117,Avocado Crisps,17,15,550,True,2022-08-27
118,P0118,Tomato Cheesecake,18,11,645,True,2023-10-22
119,P0119,Smoked Salmon Danish,19,17,440,True,2023-09-11
120,P0120,Chunky Tokyo Biscuit,20,24,540,True,2023-11-22
121,P0121,Classic Halloumi Toastie,6,18,885,True,2022-12-06
122,P0122,Truffle Chicago Jaffle,7,4,825,True,2021-11-25
123,P0123,Plant-based Tex-Mex Toastie,8,20,985,True,2023-10-08
124,P0124,Italian Rice Bowl,9,7,1535,True,2022-01-12
125,P0125,Italian Garden Salad,10,6,1110,True,2020-01-29
126,P0126,Korean Grain Bowl,11,20,1405,True,2022-08-05
127,P0127,Caprese Latte,12,11,325,True,2024-01-09
128,P0128,Brie Tea,13,9,370,True,2020-10-23
129,P0129,Mushroom Smoothie,14,7,540,True,2024-02-28
130,P0130,Crispy Tex-Mex Bites,15,14,465,True,2020-12-05
131,P0131,Chilled Vietnamese Slaw,16,16,400,True,2022-02-04
132,P0132,BLT Crisps,17,14,430,True,2021-10-29
133,P0133,Mini Berlin Cake,18,24,615,False,2021-09-16
134,P0134,Korean Croissant,19,20,500,False,2023-10-22
135,P0135,Vietnamese Cookie,20,17,545,True,2024-02-13
136,P0136,Cheesy Italian Melt,6,15,885,True,2024-02-09
137,P0137,Tokyo Reserve Toastie,7,1,1140,True,2020-11-18
138,P0138,Chicago Vegan Melt,8,12,1220,True,2024-01-22
139,P0139,Spicy Cheddar Donburi,9,1,1435,True,2021-12-22
140,P0140,Vietnamese Garden Salad,10,22,1040,True,2024-03-27
141,P0141,Cheddar Quinoa Bowl,11,22,985,True,2022-07-31
142,P0142,Italian Latte,12,3,295,True,2020-10-04
143,P0143,Iced Chicago Tea,13,24,260,True,2021-03-16
144,P0144,Pesto Lemonade,14,10,475,True,2021-11-22
145,P0145,Loaded Berlin Wedges,15,23,580,True,2023-10-15
146,P0146,Chilled Mediterranean Slaw,16,24,550,True,2022-06-19
147,P0147,Hawaiian Pretzels,17,18,540,False,2020-03-04
148,P0148,Mini Brooklyn Cake,18,8,610,True,2023-04-09
149,P0149,Vietnamese Tart,19,3,760,True,2020-11-03
